Player,Team,Pos,G,MP,G,MP,PER,TS%,eFG%,3PAr,FTr,ORB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,,OWS,DWS,WS,WS/40
Taylor Soule,CHI,F,15,53,15,53,-2.9,.257,.143,.214,.571,6.5,8.9,7.8,0.0,1.5,18.6,18.1,61,111,,-0.3,0.0,-0.2,-0.181
Azura Stevens,LAS,F-C,35,910,35,910,13.8,.479,.451,.295,.165,6.9,13.7,8.1,2.3,3.3,11.6,22.5,92,100,,-0.6,1.7,1.2,.052
Breanna Stewart,NYL,F,40,1365,40,1365,28.6,.585,.525,.340,.354,5.6,15.5,19.5,2.2,3.8,6.9,27.5,122,96,,7.0,3.3,10.3,.302
Kiah Stokes,LVA,C,40,792,40,792,9.6,.473,.464,.325,.217,7.0,17.1,3.7,1.6,4.0,15.8,6.1,107,96,,0.5,2.0,2.4,.123
Sug Sutton,PHO,G,40,1051,40,1051,9.6,.466,.431,.272,.174,1.7,6.0,30.8,1.3,0.2,21.9,20.1,90,113,,-1.0,-0.1,-1.0,-0.040
Brittney Sykes,WAS,G,40,1252,40,1252,18.6,.540,.492,.307,.293,3.5,9.3,22.7,3.4,1.0,14.0,25.0,102,100,,1.5,2.4,3.9,.125
Diana Taurasi,PHO,G,26,709,26,709,17.8,.565,.503,.588,.352,0.4,8.1,32.1,1.0,1.4,17.5,29.4,103,111,,1.0,0.1,1.1,.065
Alyssa Thomas,CON,F,40,1446,40,1446,20.8,.520,.474,.006,.363,6.6,16.3,37.8,2.6,1.2,18.7,23.0,106,97,,2.8,3.3,6.1,.169
Jasmine Thomas,LAS,G,32,410,32,410,4.6,.370,.341,.564,.100,2.8,5.0,16.1,1.1,1.4,15.5,15.2,79,107,,-0.8,0.3,-0.4,-0.042
Sam Thomas,PHO,G-F,1,11,1,11,-8.7,.000,.000,.000,.000,0.0,5.6,0.0,0.0,0.0,0.0,8.5,0,116,,-0.1,0.0,-0.1,-0.230
Kayla Thornton,NYL,F,40,693,40,693,11.8,.545,.517,.533,.200,8.3,11.6,5.5,2.0,1.2,10.9,11.8,114,101,,1.1,1.2,2.3,.132
Kristi Toliver,WAS,G,11,99,11,99,8.1,.485,.462,.718,.128,1.2,4.8,13.7,1.5,0.0,14.5,22.3,88,106,,-0.1,0.1,0.0,-0.010
Kayana Traylor,MIN,G,8,35,8,35,1.8,.368,.300,.100,.200,3.3,1.7,13.3,2.9,0.0,21.6,17.9,73,110,,-0.1,0.0,-0.1,-0.110
Brianna Turner,PHO,F,40,1052,40,1052,9.9,.646,.650,.000,.117,6.0,14.9,7.4,1.9,3.5,35.7,7.5,97,106,,0.1,1.1,1.1,.043
Yvonne Turner,SEA,G,21,193,21,193,9.9,.542,.476,.073,.439,1.2,6.7,15.7,2.1,0.9,22.3,14.4,96,107,,0.0,0.2,0.2,.034
