Player,Team,Pos,G,GS,MPG,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,PTS
Alex Montgomery,NYL,G-F,34,20,21.9,2.1,5.0,0.409,0.8,1.9,0.431,1.2,3.1,0.396,0.3,0.5,0.688,1.0,3.9,1.0,0.7,0.2,1.1,2.6,5.3
Renee Montgomery,CON,G,33,0,16.2,2.4,6.3,0.373,1.1,3.2,0.33,1.3,3.1,0.417,0.9,1.2,0.775,0.2,0.8,2.4,0.6,0.1,1.3,1.2,6.7
Lindsey Moore,MIN,G,12,0,8.5,0.3,1.3,0.2,0.3,0.8,0.333,0.0,0.5,0.0,0.3,0.5,0.667,0.0,0.8,1.2,0.3,0.0,0.3,0.8,1.1
Maya Moore,MIN,F,34,34,34.7,8.7,18.0,0.481,1.8,5.4,0.335,6.9,12.6,0.544,4.7,5.3,0.884,2.1,8.1,3.4,1.9,0.8,2.4,2.6,23.9
Darxia Morris,LAS,G,4,0,7.8,0.8,3.3,0.231,0.0,1.3,0.0,0.8,2.0,0.375,0.0,0.0,,0.5,0.8,0.8,0.5,0.0,0.5,1.3,1.5
Shay Murphy,PHO,G,27,1,12.1,1.4,3.4,0.424,0.4,1.1,0.323,1.1,2.3,0.475,0.7,0.9,0.75,0.6,1.7,1.1,0.7,0.1,0.3,1.1,3.9
Astou Ndour-Fall,SAS,C-F,8,0,4.4,1.0,2.4,0.421,0.1,0.4,0.333,0.9,2.0,0.438,0.0,0.0,,0.5,1.1,0.0,0.0,0.3,0.4,0.5,2.1
Chiney Ogwumike,CON,F-C,31,31,29.7,6.3,11.8,0.537,0.0,0.0,,6.3,11.8,0.537,2.8,4.1,0.693,3.9,8.5,0.6,1.2,1.2,1.9,3.6,15.5
Nneka Ogwumike,LAS,F,33,33,27.6,6.2,11.9,0.52,0.1,0.3,0.3,6.1,11.6,0.526,3.3,3.8,0.873,2.0,7.1,1.5,1.8,0.5,2.1,2.8,15.8
Jenna O'Hea,SEA,F,29,0,13.4,1.8,4.0,0.436,1.0,2.5,0.403,0.8,1.6,0.489,0.3,0.3,0.9,0.5,1.3,1.0,0.4,0.3,0.8,1.7,4.8
Inga Orekhova,ATL,G,2,0,6.5,0.0,2.5,0.0,0.0,1.5,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.5,0.0,0.0,1.0,0.0,0.5,0.0
Courtney Paris,TUL,C,34,34,27.6,4.1,7.1,0.574,0.0,0.0,,4.1,7.1,0.574,1.0,2.1,0.493,4.0,10.2,1.1,0.8,1.1,1.1,3.4,9.2
Candace Parker,LAS,F-C,30,29,33.2,7.2,15.4,0.469,0.6,2.1,0.306,6.6,13.3,0.494,4.4,5.2,0.846,1.0,7.1,4.3,1.8,1.4,2.6,1.7,19.4
Kayla Pedersen,CON,F,31,1,10.0,0.5,1.4,0.381,0.0,0.0,,0.5,1.4,0.381,0.4,0.7,0.619,0.7,2.3,0.3,0.2,0.1,0.5,1.1,1.5
Jia Perkins,SAS,G,23,2,22.6,4.7,10.5,0.442,1.7,4.1,0.411,3.0,6.4,0.463,1.5,1.7,0.895,0.5,2.3,1.7,1.5,0.2,1.0,1.3,12.5
Devereaux Peters,MIN,F,28,0,18.0,1.9,4.4,0.443,0.0,0.0,,1.9,4.4,0.443,0.5,0.7,0.737,1.1,3.7,1.7,0.8,1.0,1.1,2.5,4.4
Erin Phillips,PHO,G,33,10,18.7,1.9,4.5,0.435,1.1,2.4,0.449,0.9,2.1,0.42,0.8,1.0,0.844,0.3,1.6,2.2,0.7,0.0,1.2,1.3,5.8
Plenette Pierson,NYL,F,33,8,17.4,2.4,5.3,0.455,0.0,0.1,0.0,2.4,5.2,0.462,2.4,2.8,0.859,0.9,3.1,1.2,0.4,0.1,1.4,2.2,7.2
Theresa Plaisance,TUL,F,19,0,4.7,0.2,1.1,0.15,0.1,0.3,0.4,0.1,0.8,0.067,0.2,0.2,1.0,0.3,0.8,0.3,0.2,0.3,0.2,1.2,0.6
Cappie Pondexter,NYL,G,34,34,30.9,4.7,12.2,0.388,0.7,2.4,0.277,4.1,9.8,0.416,3.0,3.9,0.769,0.6,3.4,3.9,1.0,0.1,2.6,1.2,13.2
Nicole Powell,SEA,F,26,0,13.0,0.7,2.7,0.261,0.5,2.0,0.25,0.2,0.7,0.294,0.3,0.3,0.778,0.5,1.8,0.3,0.8,0.1,0.4,1.5,2.2
Samantha Prahalis,LAS,G,2,0,10.5,1.0,2.0,0.5,0.0,0.5,0.0,1.0,1.5,0.667,0.0,0.0,,0.0,1.5,0.0,0.0,0.0,0.5,2.0,2.0
Armintie Herrington,LAS,G,34,17,23.2,1.7,3.6,0.48,0.0,0.0,0.0,1.7,3.6,0.484,0.5,1.0,0.457,1.2,2.8,2.0,1.5,0.2,1.0,1.9,3.9
Epiphanny Prince,CHI,G,26,24,32.3,4.7,12.3,0.383,1.2,3.8,0.327,3.5,8.6,0.408,4.3,5.0,0.876,0.6,3.0,3.8,1.9,0.4,1.8,2.4,15.0
Allie Quigley,CHI,G,34,1,24.8,4.2,9.5,0.444,1.2,3.1,0.387,3.0,6.4,0.472,1.5,1.7,0.879,0.4,2.2,1.9,0.7,0.2,1.8,1.7,11.2
Noelle Quinn,SEA,G,32,5,15.1,1.4,3.8,0.38,0.3,1.0,0.258,1.2,2.8,0.422,0.7,0.8,0.88,0.4,2.5,1.3,0.5,0.1,0.6,0.8,3.8
Angel Robinson,SEA,F-C,25,1,7.2,0.9,1.6,0.575,0.0,0.0,,0.9,1.6,0.575,0.3,0.4,0.8,0.4,1.4,0.3,0.2,0.3,0.8,1.3,2.2
Danielle Robinson,SAS,G,33,33,33.1,5.0,10.9,0.457,0.0,0.2,0.0,5.0,10.7,0.466,2.9,3.1,0.941,0.7,3.5,5.3,1.7,0.2,2.4,2.9,12.9
Sugar Rodgers,NYL,G,34,0,16.6,2.1,6.0,0.353,0.7,2.4,0.289,1.4,3.6,0.397,1.1,1.4,0.735,0.4,2.1,1.3,0.7,0.3,1.0,1.5,6.0
Waltiea Rolle,SEA,C,6,0,11.0,1.2,1.7,0.7,0.0,0.0,,1.2,1.7,0.7,0.3,0.3,1.0,0.8,3.2,0.3,0.3,0.0,0.3,0.8,2.7
Tierra Ruffin-Pratt,WAS,G,34,6,16.2,1.7,4.5,0.383,0.1,0.6,0.25,1.6,3.9,0.403,0.9,1.3,0.705,0.8,2.9,1.3,0.7,0.1,0.9,1.8,4.5
Shoni Schimmel,ATL,G,34,2,21.3,3.1,8.2,0.374,1.6,4.6,0.342,1.5,3.6,0.415,0.6,0.7,0.84,0.5,2.2,3.6,0.8,0.1,2.4,1.1,8.3
Odyssey Sims,TUL,G,34,31,34.4,5.9,14.6,0.406,1.4,4.0,0.346,4.5,10.6,0.429,3.5,4.2,0.839,0.8,2.8,4.2,1.3,0.3,2.1,2.6,16.7
Shekinna Stricklen,SEA,F,33,10,17.5,2.6,6.1,0.43,1.4,3.7,0.385,1.2,2.4,0.5,0.6,0.8,0.731,0.3,2.1,0.7,0.6,0.1,0.8,2.0,7.2
Diana Taurasi,PHO,G,33,33,30.8,5.2,11.4,0.454,1.9,5.2,0.365,3.3,6.3,0.527,4.0,4.6,0.874,0.3,3.8,5.6,0.7,0.3,2.6,3.0,16.2
Asia Taylor,MIN,F,22,0,7.9,1.0,1.8,0.525,0.0,0.0,,1.0,1.8,0.525,0.8,1.1,0.75,0.5,1.4,0.5,0.2,0.0,0.7,1.5,2.7
Penny Taylor,PHO,F,33,24,23.4,3.5,7.2,0.479,0.9,2.5,0.357,2.5,4.7,0.545,2.7,3.2,0.848,0.4,3.1,3.1,1.2,0.5,1.7,1.6,10.5
Alyssa Thomas,CON,F,34,28,27.3,3.7,8.6,0.436,0.1,0.2,0.333,3.7,8.4,0.439,2.6,3.4,0.757,1.9,5.1,1.5,1.0,0.2,1.7,2.1,10.1
Jasmine Thomas,ATL,G,34,23,17.5,1.8,5.6,0.323,0.4,1.4,0.255,1.4,4.2,0.345,0.9,1.2,0.714,0.5,2.1,1.6,0.5,0.1,1.1,1.4,4.8
